Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FP,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.5,0.25139312627145144,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        51
           1       0.00      0.00      0.00        51

    accuracy                           0.50       102
   macro avg       0.25      0.50      0.33       102
weighted avg       0.25      0.50      0.33       102
",0.0,0.3333333333333333,51.0,0.0,0.5,,0.4711603153931201,0.4382929642445213,0.4382929642445213,51.0,1.0,0.0,0.0
0.5,0.25110176171699916,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.4359974128113884,0.4363905325443787,0.4363905325443787,52.0,1.0,0.0,0.0
0.5,0.25074904149845084,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.3826268297761223,0.32322485207100593,0.32322485207100593,52.0,1.0,0.0,0.0
0.5,0.2512470235796685,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.3378639807486419,0.17677514792899407,0.17677514792899407,52.0,1.0,0.0,0.0
0.5,0.25079924888258176,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.33841822131656074,0.1741863905325444,0.1741863905325444,52.0,1.0,0.0,0.0
0.5,0.25088821334287303,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.9163301782170048,0.8994082840236686,0.8994082840236686,52.0,1.0,0.0,0.0
0.5,0.2513530985882611,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.8171463359808752,0.7622041420118343,0.7622041420118343,52.0,1.0,0.0,0.0
0.5,0.25108492200668725,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.5261793384126426,0.47041420118343197,0.47041420118343197,52.0,1.0,0.0,0.0
0.5,0.25396175052058595,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.4088414408052512,0.3831360946745562,0.3831360946745562,52.0,1.0,0.0,0.0
0.5,0.25196707381543054,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        52
           1       0.00      0.00      0.00        52

    accuracy                           0.50       104
   macro avg       0.25      0.50      0.33       104
weighted avg       0.25      0.50      0.33       104
",0.0,0.3333333333333333,52.0,0.0,0.5,,0.5208728653803948,0.46745562130177515,0.46745562130177515,52.0,1.0,0.0,0.0
