Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FP,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TP,TPR
0.5,0.3068375876089722,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        74
           1       0.00      0.00      0.00        74

    accuracy                           0.50       148
   macro avg       0.25      0.50      0.33       148
weighted avg       0.25      0.50      0.33       148
",0.0,0.3333333333333333,74.0,0.0,0.5,,0.6581117664329063,0.7293644996347699,0.7293644996347699,74.0,0.0,0.0
0.5,0.30680528590591394,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        73
           1       0.00      0.00      0.00        73

    accuracy                           0.50       146
   macro avg       0.25      0.50      0.33       146
weighted avg       0.25      0.50      0.33       146
",0.0,0.3333333333333333,73.0,0.0,0.5,,0.5318267993951411,0.5601426158753987,0.5601426158753987,73.0,0.0,0.0
0.5,0.2818165668106096,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        73
           1       0.00      0.00      0.00        73

    accuracy                           0.50       146
   macro avg       0.25      0.50      0.33       146
weighted avg       0.25      0.50      0.33       146
",0.0,0.3333333333333333,73.0,0.0,0.5,,0.6394868952991719,0.6200037530493525,0.6200037530493525,73.0,0.0,0.0
0.5,0.3012820206218855,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        73
           1       0.00      0.00      0.00        73

    accuracy                           0.50       146
   macro avg       0.25      0.50      0.33       146
weighted avg       0.25      0.50      0.33       146
",0.0,0.3333333333333333,73.0,0.0,0.5,,0.450930931811648,0.45580784387314693,0.45580784387314693,73.0,0.0,0.0
0.5,0.30640664334186024,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        73
           1       0.00      0.00      0.00        73

    accuracy                           0.50       146
   macro avg       0.25      0.50      0.33       146
weighted avg       0.25      0.50      0.33       146
",0.0,0.3333333333333333,73.0,0.0,0.5,,0.5862661237156173,0.6177519234377933,0.6177519234377933,73.0,0.0,0.0
0.5,0.28457611164122987,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        73
           1       0.00      0.00      0.00        73

    accuracy                           0.50       146
   macro avg       0.25      0.50      0.33       146
weighted avg       0.25      0.50      0.33       146
",0.0,0.3333333333333333,73.0,0.0,0.5,,0.5151647389472982,0.5937324075811596,0.5937324075811596,73.0,0.0,0.0
0.5,0.30572322387253265,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        73
           1       0.00      0.00      0.00        73

    accuracy                           0.50       146
   macro avg       0.25      0.50      0.33       146
weighted avg       0.25      0.50      0.33       146
",0.0,0.3333333333333333,73.0,0.0,0.5,,0.5763805220951687,0.6344529930568588,0.6344529930568588,73.0,0.0,0.0
0.5,0.29650894158930136,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        73
           1       0.00      0.00      0.00        73

    accuracy                           0.50       146
   macro avg       0.25      0.50      0.33       146
weighted avg       0.25      0.50      0.33       146
",0.0,0.3333333333333333,73.0,0.0,0.5,,0.4763509612611678,0.4832051041471195,0.4832051041471195,73.0,0.0,0.0
0.5,0.3213774892656358,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        73
           1       0.00      0.00      0.00        73

    accuracy                           0.50       146
   macro avg       0.25      0.50      0.33       146
weighted avg       0.25      0.50      0.33       146
",0.0,0.3333333333333333,73.0,0.0,0.5,,0.42274353923832575,0.40382811033965094,0.40382811033965094,73.0,0.0,0.0
0.5,0.309398903930585,"              precision    recall  f1-score   support

           0       0.50      1.00      0.67        74
           1       0.00      0.00      0.00        74

    accuracy                           0.50       148
   macro avg       0.25      0.50      0.33       148
weighted avg       0.25      0.50      0.33       148
",0.0,0.3333333333333333,74.0,0.0,0.5,,0.3625668307332497,0.2527392257121987,0.2527392257121987,74.0,0.0,0.0
