Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FP,FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.7227722772277227,0.19318666010724428,"              precision    recall  f1-score   support

         0.0       1.00      0.60      0.75        70
         1.0       0.53      1.00      0.69        31

    accuracy                           0.72       101
   macro avg       0.76      0.80      0.72       101
weighted avg       0.85      0.72      0.73       101
",0.47938144329896903,0.7194444444444444,0.0,28.0,0.4,1.0,0.5254237288135594,0.787037037037037,0.8357142857142857,0.8357142857142857,42.0,0.6,31.0,1.0
0.82,0.15680102481013056,"              precision    recall  f1-score   support

         0.0       1.00      0.74      0.85        70
         1.0       0.62      1.00      0.77        30

    accuracy                           0.82       100
   macro avg       0.81      0.87      0.81       100
weighted avg       0.89      0.82      0.83       100
",0.6341463414634146,0.8108448928121059,0.0,18.0,0.2571428571428571,1.0,0.625,0.8125,0.8714285714285714,0.8714285714285714,52.0,0.7428571428571429,30.0,1.0
0.76,0.18495745274802453,"              precision    recall  f1-score   support

         0.0       1.00      0.66      0.79        70
         1.0       0.56      1.00      0.71        30

    accuracy                           0.76       100
   macro avg       0.78      0.83      0.75       100
weighted avg       0.87      0.76      0.77       100
",0.5348837209302325,0.7536945812807883,0.0,24.0,0.34285714285714286,1.0,0.5555555555555556,0.7777777777777778,0.8285714285714285,0.8285714285714285,46.0,0.6571428571428571,30.0,1.0
0.77,0.1751928729262953,"              precision    recall  f1-score   support

         0.0       1.00      0.67      0.80        70
         1.0       0.57      1.00      0.72        30

    accuracy                           0.77       100
   macro avg       0.78      0.84      0.76       100
weighted avg       0.87      0.77      0.78       100
",0.55078125,0.7631551848419318,0.0,23.0,0.32857142857142857,1.0,0.5660377358490566,0.7941176470588236,0.85,0.85,47.0,0.6714285714285714,30.0,1.0
0.75,0.18943600955468332,"              precision    recall  f1-score   support

         0.0       1.00      0.64      0.78        70
         1.0       0.55      1.00      0.71        30

    accuracy                           0.75       100
   macro avg       0.77      0.82      0.74       100
weighted avg       0.86      0.75      0.76       100
",0.5192307692307692,0.7442455242966752,0.0,25.0,0.35714285714285715,1.0,0.5454545454545454,0.7777777777777778,0.8285714285714285,0.8285714285714285,45.0,0.6428571428571429,30.0,1.0
0.73,0.1997946266258586,"              precision    recall  f1-score   support

         0.0       1.00      0.61      0.76        69
         1.0       0.53      1.00      0.70        31

    accuracy                           0.73       100
   macro avg       0.77      0.80      0.73       100
weighted avg       0.86      0.73      0.74       100
",0.4909502262443439,0.7266929851199515,0.0,27.0,0.391304347826087,1.0,0.5344827586206896,0.7872478740600183,0.8424497428705002,0.8424497428705002,42.0,0.6086956521739131,31.0,1.0
0.76,0.18562298398003063,"              precision    recall  f1-score   support

         0.0       1.00      0.65      0.79        69
         1.0       0.56      1.00      0.72        31

    accuracy                           0.76       100
   macro avg       0.78      0.83      0.76       100
weighted avg       0.86      0.76      0.77       100
",0.5375722543352601,0.755201958384333,0.0,24.0,0.34782608695652173,1.0,0.5636363636363636,0.7980769230769231,0.8478260869565217,0.8478260869565217,45.0,0.6521739130434783,31.0,1.0
0.66,0.235941668010243,"              precision    recall  f1-score   support

         0.0       1.00      0.51      0.67        69
         1.0       0.48      1.00      0.65        31

    accuracy                           0.66       100
   macro avg       0.74      0.75      0.66       100
weighted avg       0.84      0.66      0.66       100
",0.38958707360861766,0.6594551282051282,0.0,34.0,0.4927536231884058,1.0,0.47692307692307695,0.7421875,0.7608695652173914,0.7608695652173914,35.0,0.5072463768115942,31.0,1.0
0.77,0.18035447191514375,"              precision    recall  f1-score   support

         0.0       1.00      0.67      0.80        69
         1.0       0.57      1.00      0.73        31

    accuracy                           0.77       100
   macro avg       0.79      0.83      0.76       100
weighted avg       0.87      0.77      0.78       100
",0.5535714285714286,0.7647058823529412,0.0,23.0,0.3333333333333333,1.0,0.5740740740740741,0.787037037037037,0.8333333333333334,0.8333333333333334,46.0,0.6666666666666666,31.0,1.0
0.76,0.1858090664740262,"              precision    recall  f1-score   support

         0.0       1.00      0.65      0.79        69
         1.0       0.56      1.00      0.72        31

    accuracy                           0.76       100
   macro avg       0.78      0.83      0.76       100
weighted avg       0.86      0.76      0.77       100
",0.5375722543352601,0.755201958384333,0.0,24.0,0.34782608695652173,1.0,0.5636363636363636,0.7980769230769231,0.8478260869565217,0.8478260869565217,45.0,0.6521739130434783,31.0,1.0
