Accuracy,Brier's,ClassificationReport,Cohen's,F1-Macro,FN,FNR,FP,FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.5392156862745098,0.23994170300609122,"              precision    recall  f1-score   support

         0.0       1.00      0.47      0.64        88
         1.0       0.23      1.00      0.37        14

    accuracy                           0.54       102
   macro avg       0.61      0.73      0.50       102
weighted avg       0.89      0.54      0.60       102
",0.19320094244362163,0.5044961240310077,0.0,0.0,47.0,0.5340909090909091,1.0,0.22950819672131148,0.642271662763466,0.7520292207792207,0.7520292207792207,41.0,0.4659090909090909,14.0,1.0
0.5784313725490197,0.27728529527733803,"              precision    recall  f1-score   support

         0.0       1.00      0.51      0.68        88
         1.0       0.25      1.00      0.39        14

    accuracy                           0.58       102
   macro avg       0.62      0.76      0.54       102
weighted avg       0.90      0.58      0.64       102
",0.2231668437832094,0.5355289632532034,0.0,0.0,43.0,0.48863636363636365,1.0,0.24561403508771928,0.6228070175438596,0.7556818181818181,0.7556818181818181,45.0,0.5113636363636364,14.0,1.0
0.5882352941176471,0.2576147794811736,"              precision    recall  f1-score   support

         0.0       1.00      0.52      0.69        88
         1.0       0.25      1.00      0.40        14

    accuracy                           0.59       102
   macro avg       0.62      0.76      0.54       102
weighted avg       0.90      0.59      0.65       102
",0.23115577889447236,0.5432835820895523,0.0,0.0,42.0,0.4772727272727273,1.0,0.25,0.6372549019607843,0.7897727272727273,0.7897727272727273,46.0,0.5227272727272727,14.0,1.0
0.5882352941176471,0.2710250932082871,"              precision    recall  f1-score   support

         0.0       1.00      0.52      0.69        88
         1.0       0.25      1.00      0.40        14

    accuracy                           0.59       102
   macro avg       0.62      0.76      0.54       102
weighted avg       0.90      0.59      0.65       102
",0.23115577889447236,0.5432835820895523,0.0,0.0,42.0,0.4772727272727273,1.0,0.25,0.6272727272727272,0.7670454545454546,0.7670454545454546,46.0,0.5227272727272727,14.0,1.0
0.49504950495049505,0.3161070339605543,"              precision    recall  f1-score   support

         0.0       0.97      0.43      0.60        88
         1.0       0.19      0.92      0.32        13

    accuracy                           0.50       101
   macro avg       0.58      0.68      0.46       101
weighted avg       0.87      0.50      0.56       101
",0.13617306724802947,0.45921259842519685,1.0,0.07692307692307693,50.0,0.5681818181818182,0.9743589743589743,0.1935483870967742,0.4905200978604871,0.639423076923077,0.639423076923077,38.0,0.4318181818181818,12.0,0.9230769230769231
0.6039603960396039,0.25463632868834846,"              precision    recall  f1-score   support

         0.0       0.96      0.57      0.71        88
         1.0       0.22      0.85      0.35        13

    accuracy                           0.60       101
   macro avg       0.59      0.71      0.53       101
weighted avg       0.87      0.60      0.67       101
",0.19005613472333605,0.5345622119815668,2.0,0.15384615384615385,38.0,0.4318181818181818,0.9615384615384616,0.22448979591836735,0.5259026687598116,0.7526223776223777,0.7526223776223777,50.0,0.5681818181818182,11.0,0.8461538461538461
0.5148514851485149,0.30396525011348824,"              precision    recall  f1-score   support

         0.0       0.95      0.47      0.63        88
         1.0       0.19      0.85      0.31        13

    accuracy                           0.51       101
   macro avg       0.57      0.66      0.47       101
weighted avg       0.86      0.51      0.59       101
",0.12608158220024734,0.46790667670142994,2.0,0.15384615384615385,47.0,0.5340909090909091,0.9534883720930233,0.1896551724137931,0.5359788729117223,0.6966783216783217,0.6966783216783217,41.0,0.4659090909090909,11.0,0.8461538461538461
0.4752475247524752,0.3263488063396805,"              precision    recall  f1-score   support

         0.0       1.00      0.40      0.57        88
         1.0       0.20      1.00      0.33        13

    accuracy                           0.48       101
   macro avg       0.60      0.70      0.45       101
weighted avg       0.90      0.48      0.54       101
",0.14529778061631815,0.4491098075537717,0.0,0.0,53.0,0.6022727272727273,1.0,0.19696969696969696,0.6015625,0.7102272727272727,0.7102272727272727,35.0,0.3977272727272727,13.0,1.0
0.49504950495049505,0.3155272422687295,"              precision    recall  f1-score   support

         0.0       1.00      0.42      0.59        88
         1.0       0.20      1.00      0.34        13

    accuracy                           0.50       101
   macro avg       0.60      0.71      0.46       101
weighted avg       0.90      0.50      0.56       101
",0.15736954032389983,0.4648311688311689,0.0,0.0,51.0,0.5795454545454546,1.0,0.203125,0.6031746031746031,0.7159090909090908,0.7159090909090908,37.0,0.42045454545454547,13.0,1.0
0.6138613861386139,0.2570410865370022,"              precision    recall  f1-score   support

         0.0       0.95      0.59      0.73        88
         1.0       0.22      0.77      0.34        13

    accuracy                           0.61       101
   macro avg       0.58      0.68      0.53       101
weighted avg       0.85      0.61      0.68       101
",0.17300020995171106,0.5331278890600925,3.0,0.23076923076923078,36.0,0.4090909090909091,0.9454545454545454,0.21739130434782608,0.4844843037162976,0.7259615384615385,0.7259615384615385,52.0,0.5909090909090909,10.0,0.7692307692307693
